avg_rating,rating_1,rating_2,rating_3,rating_4,rating_5,sentence
-1.4,-3.0,-3.0,-1.0,-1.0,1.0,Pimp ( 10 ) Successfully complete all the Snatch locations and levels .
-1.8,-3.0,-3.0,-2.0,-1.0,0.0,it 's a Holiday Inn for terroists .
-2.0,-3.0,-3.0,-2.0,-1.0,-1.0,Good Luck and do n't give up !
0.2,-2.0,0.0,0.0,1.0,2.0,Most SHC victims are found near a heat source .
-1.6,-3.0,-2.0,-2.0,-2.0,1.0,Tanay : I did have an opinion .
-1.8,-3.0,-3.0,-2.0,-2.0,1.0,if you like him tell him !
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,that 's bull * * * * !
2.2,1.0,2.0,2.0,3.0,3.0,Patients have financial incentives to select providers within the PPO network .
0.4,-2.0,0.0,1.0,1.0,2.0,"Rhizomes - they are roots or underground stems , as in ginger ."
-1.8,-3.0,-2.0,-2.0,-2.0,0.0,If you want it all I found out who did it ?
0.6,-3.0,0.0,1.0,2.0,3.0,"02/09/78 - Abducts Kimberly Ann Leach from her school in Lake City , Florida ."
0.0,-3.0,0.0,0.0,1.0,2.0,These are the same compounds that give farts their odor .
-1.0,-3.0,-2.0,-1.0,0.0,1.0,"No , to the contrary ."
-2.0,-3.0,-3.0,-2.0,-2.0,0.0,i ' m not sure why though .
1.4,0.0,0.0,1.0,3.0,3.0,"Fifth , Scientology has a warped code of ethics ."
2.2,0.0,2.0,3.0,3.0,3.0,Applied ecology applies ecological principles to the management of populations of crops and animals .
1.2,0.0,0.0,1.0,2.0,3.0,"No , he is a slave to the interpretations of the modern idiot/evangelist ."
1.6,0.0,2.0,2.0,2.0,2.0,I fail to see how his religion has anything to do with it .
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,`` interesing ! ''
-0.2,-2.0,-1.0,-1.0,1.0,2.0,"* Contrary to popular belief , the Titanic did n't hit an iceberg ."
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Do n't drive her to an emergency room by car .
-1.8,-3.0,-2.0,-2.0,-1.0,-1.0,probably best to check out their web site to be on the safe side
1.8,0.0,2.0,2.0,2.0,3.0,Instructors are responsible for establishing and publishing the grading scale applicable to their courses .
